OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PEAK_LOAD,AVG_LOAD,YEAR,GlobalID,SHAPE_Length,SHAPE_Area
1,56669,"MIDCONTINENT INDEPENDENT TRANSMISSION SYSTEM OPERATOR, INC..",720 WEST CITY CENTER DRIVE,CARMEL,IN,46032,(317) 249-5400,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/28 00:00:00+00,https://www.misoenergy.org/,116627,97191,2019,{29835694-4676-44ED-84CD-B74A88642762},339.85052247501,-178.431577857768
2,59504,SOUTHWEST POWER POOL,201 WORTHEN DRIVE,LITTLE ROCK,AR,72223,(501) 614-3200,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/28 00:00:00+00,https://www.spp.org/,50510,41783,2019,{D2048DD2-FD6F-4D09-861A-29582D9F9B23},185.879148449801,-143.098290834742
3,14725,"PJM INTERCONNECTION, LLC",2750 MONROE BOULEVARD,AUDUBON,PA,19403,(610) 666-8980,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/28 00:00:00+00,http://www.pjm.com/,151499,127285,2019,{CD4CFE9B-621D-4F62-98FB-71A9EFCFBDEE},241.36090152967,-62.4321463177594
4,5723,"ELECTRIC RELIABILITY COUNCIL OF TEXAS, INC.",7620 METRO CENTER DRIVE,AUSTIN,TX,78744,(512) 225-7000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/28 00:00:00+00,http://www.ercot.com/,74819,61881,2019,{699AB577-B395-40C5-A742-E0F9DD88E546},87.2246943020975,-48.1189508704656
5,2775,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,250 OUTCROPPING WAY,FOLSOM,CA,95630,(916) 351-4400,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/28 00:00:00+00,http://www.caiso.com/,44145,34427,2019,{8B2C5193-A60E-4249-96FB-80877FD919FA},79.0414134881304,33.5168830035036
6,13434,ISO NEW ENGLAND INC.,1 SULLIVAN RD,HOLYOKE,MA,01040,(413) 535-4000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/28 00:00:00+00,https://www.iso-ne.com/,24324,18960,2019,{BF8F7E3F-7BA6-4621-B664-B43627DBF43F},82.4049321059095,-19.3798008614905
7,13501,NEW YORK INDEPENDENT SYSTEM OPERATOR,10 KREY BOULEVARD,RENSSELAER,NY,12144,(518) 356-6000,USA,2211,"ELECTRIC POWER GENERATION, TRANSMISSION AND DISTRIBUTION","FERC 714, EIA 860, EIA 861, TIGER/Line Shapefiles - U.S. Census",2020/06/24 00:00:00+00,OTHER,2021/05/28 00:00:00+00,http://www.nyiso.com/,30397,24162,2019,{30BC7880-5D5E-454A-94FE-778749DFB207},49.9087660284453,-14.1174000875956
