Capacity data calculated from MERRA-2
""
BEGIN_DATA
year,month,day,hour,w_cfs
2018,10,5,20,0.03299785307098377
2018,10,5,21,0.057822970266544524
2018,10,5,22,0.0944770342810859
2018,10,5,23,0.1272836949606282
2018,10,5,24,0.1066604483135077
2018,10,6,1,0.08607061374864144
2018,10,6,2,0.0808244139392866
2018,10,6,3,0.09161474869188482
2018,10,6,4,0.11347672901487192
2018,10,6,5,0.15177604700147307
2018,10,6,6,0.16559702073594387
2018,10,6,7,0.1604305524173477
2018,10,6,8,0.15351241524633186
2018,10,6,9,0.1328760537271131
2018,10,6,10,0.10933816848625874
2018,10,6,11,0.05368656786676978
2018,10,6,12,0.009096199516468496
2018,10,6,13,0.01511145640559834
2018,10,6,14,0.012412535680539908
2018,10,6,15,0.009887486661986187
2018,10,6,16,0.009937143900057751
2018,10,6,17,0.011190322091160134
2018,10,6,18,0.015707219080985532
2018,10,6,19,0.021450004729048115
2018,10,6,20,0.029160494706144097
2018,10,6,21,0.08671680145999125
2018,10,6,22,0.2529351242187758
2018,10,6,23,0.23118626571759185
2018,10,6,24,0.1663048485061114
2018,10,7,1,0.12371950117554617
2018,10,7,2,0.1442163722576099
2018,10,7,3,0.0961945456998361
2018,10,7,4,0.08878561599422877
2018,10,7,5,0.08872063073071285
2018,10,7,6,0.10554285603681002
2018,10,7,7,0.12542939484844345
2018,10,7,8,0.11549654447713754
2018,10,7,9,0.10639897221559577
2018,10,7,10,0.09729984428726347
2018,10,7,11,0.08527046133982749
2018,10,7,12,0.09043378580611826
2018,10,7,13,0.1094665200021186
2018,10,7,14,0.1071813679006829
2018,10,7,15,0.09371626960965264
2018,10,7,16,0.08143263329915859
2018,10,7,17,0.07060686749658648
2018,10,7,18,0.06764609742543488
2018,10,7,19,0.07225946477806468
2018,10,7,20,0.06081790003110103
2018,10,7,21,0.06299307003241325
2018,10,7,22,0.1436050065353791
2018,10,7,23,0.17190817206544715
2018,10,7,24,0.14268980781461793
2018,10,8,1,0.1090038147865385
2018,10,8,2,0.0909234132447335
2018,10,8,3,0.06447371002018952
2018,10,8,4,0.05084830257725852
2018,10,8,5,0.047281134434313137
2018,10,8,6,0.04659870250234489
2018,10,8,7,0.04283627413814246
2018,10,8,8,0.03948171319723956
2018,10,8,9,0.03797243893466966
2018,10,8,10,0.0391343479730444
2018,10,8,11,0.0323892743184019
2018,10,8,12,0.027663902888190848
2018,10,8,13,0.02507804011972531
2018,10,8,14,0.01696664015510834
2018,10,8,15,0.010793298006195518
2018,10,8,16,0.009368491115947923
2018,10,8,17,0.008010689218234689
2018,10,8,18,0.008555550816172174
2018,10,8,19,0.01069015713029196
2018,10,8,20,0.015037758497009049
2018,10,8,21,0.038642085285020535
2018,10,8,22,0.11791580296393525
2018,10,8,23,0.19476551884901974
2018,10,8,24,0.15306858884137117
2018,10,9,1,0.09126583161718496
2018,10,9,2,0.07730279276331996
2018,10,9,3,0.09017675780553923
2018,10,9,4,0.10523834931723784
2018,10,9,5,0.14149821850935868
2018,10,9,6,0.17961619720255306
2018,10,9,7,0.2229883485665116
2018,10,9,8,0.23085108577290117
2018,10,9,9,0.23792683795489059
2018,10,9,10,0.26993311895629324
2018,10,9,11,0.28397761475999095
2018,10,9,12,0.20451233395484353
2018,10,9,13,0.17532779283669458
2018,10,9,14,0.2593421195160377
2018,10,9,15,0.3305033806978255
2018,10,9,16,0.3919061871392188
2018,10,9,17,0.3832843873509185
2018,10,9,18,0.34508057437108586
2018,10,9,19,0.30283405077744613
2018,10,9,20,0.29862107738802135
2018,10,9,21,0.37541053105962807
